ASSESSMENT_UNIT_ID,PARAM_NAME,Pollu_ID,ACTION_ID,Pollutant_DEQ.WQS,OWRD_Basin
OR_SR_1801020303_88_106981,PH,124,2352,pH,Klamath
OR_SR_1801020303_88_106981,PH,124,42375,pH,Klamath
OR_SR_1801020303_88_106981,PH,124,OR_TMDL_20190116,pH,Klamath
OR_SR_1801020303_88_106981,TEMPERATURE,132,2352,Temperature,Klamath
OR_SR_1801020303_88_106981,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_SR_1801020405_05_107166,CHLOROPHYLL-A,40,42375,Chlorophyll-a,Klamath
OR_SR_1801020405_05_107166,PH,124,42375,pH,Klamath
OR_SR_1801020405_05_107166,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_SR_1801020406_05_106988,AMMONIA,6,42375,Ammonia,Klamath
OR_SR_1801020406_05_106988,AMMONIA,6,OR_TMDL_20190116,Ammonia,Klamath
OR_SR_1801020406_05_106988,CHLOROPHYLL-A,40,42375,Chlorophyll-a,Klamath
OR_SR_1801020406_05_106988,CHLOROPHYLL-A,40,OR_TMDL_20190116,Chlorophyll-a,Klamath
OR_SR_1801020406_05_106988,PH,124,42375,pH,Klamath
OR_SR_1801020406_05_106988,PH,124,OR_TMDL_20190116,pH,Klamath
OR_SR_1801020406_05_106988,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_SR_1801020406_05_106989,AMMONIA,6,42375,Ammonia,NA
OR_SR_1801020406_05_106989,AMMONIA,6,OR_TMDL_20190116,Ammonia,NA
OR_SR_1801020406_05_106989,CHLOROPHYLL-A,40,42375,Chlorophyll-a,NA
OR_SR_1801020406_05_106989,CHLOROPHYLL-A,40,OR_TMDL_20190116,Chlorophyll-a,NA
OR_SR_1801020406_05_106989,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,NA
